case_id,src_node_id,dst_node_id,score,count,rationale,provenance
NEG_00000,NEG_00000_N000001,NEG_00000_N000002,0.42,1,same_section|type_prior,negative
NEG_00000,NEG_00000_N000002,NEG_00000_N000001,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000004,NEG_00001_N000005,0.92,1,same_sentence|type_prior,negative
NEG_00001,NEG_00001_N000006,NEG_00001_N000007,0.92,1,same_sentence|type_prior,negative
NEG_00001,NEG_00001_N000004,NEG_00001_N000003,0.77,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000004,NEG_00001_N000007,0.77,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000006,NEG_00001_N000003,0.77,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000006,NEG_00001_N000005,0.77,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000005,NEG_00001_N000004,0.47,1,same_sentence|type_prior,negative
NEG_00001,NEG_00001_N000007,NEG_00001_N000006,0.47,1,same_sentence|type_prior,negative
NEG_00001,NEG_00001_N000004,NEG_00001_N000008,0.44,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000006,NEG_00001_N000008,0.44,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000003,NEG_00001_N000005,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000003,NEG_00001_N000007,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000004,NEG_00001_N000006,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000005,NEG_00001_N000003,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000005,NEG_00001_N000007,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000006,NEG_00001_N000004,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000007,NEG_00001_N000003,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000007,NEG_00001_N000005,0.42,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000008,NEG_00001_N000003,0.41,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000008,NEG_00001_N000005,0.41,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000008,NEG_00001_N000007,0.41,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000003,NEG_00001_N000004,0.32,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000003,NEG_00001_N000006,0.32,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000005,NEG_00001_N000006,0.32,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000007,NEG_00001_N000004,0.32,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000008,NEG_00001_N000004,0.29,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000008,NEG_00001_N000006,0.29,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000003,NEG_00001_N000008,0.23,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000005,NEG_00001_N000008,0.23,1,same_section|type_prior,negative
NEG_00001,NEG_00001_N000007,NEG_00001_N000008,0.23,1,same_section|type_prior,negative
NEG_00002,NEG_00002_N000010,NEG_00002_N000009,0.41,1,same_section|type_prior,negative
NEG_00002,NEG_00002_N000010,NEG_00002_N000011,0.308,1,same_sentence|type_prior,negative
NEG_00002,NEG_00002_N000009,NEG_00002_N000011,0.26,1,same_section|type_prior,negative
NEG_00002,NEG_00002_N000011,NEG_00002_N000009,0.26,1,same_section|type_prior,negative
NEG_00002,NEG_00002_N000009,NEG_00002_N000010,0.23,1,same_section|type_prior,negative
NEG_00002,NEG_00002_N000011,NEG_00002_N000010,0.2,1,same_sentence|type_prior,negative
NEG_00003,NEG_00003_N000013,NEG_00003_N000012,0.77,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000013,NEG_00003_N000015,0.77,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000013,NEG_00003_N000014,0.47,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000012,NEG_00003_N000015,0.42,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000015,NEG_00003_N000012,0.42,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000012,NEG_00003_N000013,0.32,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000015,NEG_00003_N000013,0.32,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000012,NEG_00003_N000014,0.26,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000014,NEG_00003_N000012,0.26,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000014,NEG_00003_N000015,0.26,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000015,NEG_00003_N000014,0.26,1,same_section|type_prior,negative
NEG_00003,NEG_00003_N000014,NEG_00003_N000013,0.2,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000017,NEG_00004_N000018,0.79,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000017,NEG_00004_N000016,0.77,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000018,NEG_00004_N000016,0.46,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000016,NEG_00004_N000018,0.44,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000018,NEG_00004_N000017,0.36,1,same_section|type_prior,negative
NEG_00004,NEG_00004_N000016,NEG_00004_N000017,0.32,1,same_section|type_prior,negative
NEG_00005,NEG_00005_N000020,NEG_00005_N000019,0.81,1,same_section|type_prior,negative
