label,provenance,count
murder,negative,175
diminished_responsibility,negative,36
weapon_firearm,negative,21
confession_or_admission,negative,21
assault_method_shooting,negative,15
actus_reus_killing,negative,10
accessory_or_complicity,negative,9
weapon_present,negative,4
self_defence_legal,negative,4
gunshot_residue_gsr,negative,4
weapon_sharp,negative,3
location_public_space,negative,3
motive_jealousy_revenge,negative,2
assault_method_stabbing,negative,2
alibi_claim,negative,2
manslaughter_unlawful_act,negative,1
prior_threats,negative,1
encounter,negative,1
insanity,negative,1
