case_id,node_id,label,type,source,polarity,section,sent_text,paragraph_id,provenance,match_how
CASE_00000,CASE_00000_N000001,location_public_space,narrative,uncertain,1,facts,"Computer Aided Transcript of Epiq Europe Ltd, Lower Ground, 18-22 Furnival Street, London EC4A 1JS Tel No: 020 7404 1400; Email: rcj@epiqglobal.co.uk ( to the Court) ____________________",1,real,synonym
CASE_00000,CASE_00000_N000002,murder,legal_facts,uncertain,1,facts,"MRS JUSTICE JEFFORD: On 9 November 2021 in the Crown Court at Merthyr Tydfil, the applicant, then aged 32, was convicted following a trial of the murder of Wenjing Lin and the attempted murder of Yongquan Jiang.",1,real,synonym
CASE_00000,CASE_00000_N000003,murder,legal_facts,uncertain,1,facts,On 12 November 2021 the applicant was sentenced to life imprisonment for the murder of Wenjing with a minimum term of 30 years.,1,real,synonym
CASE_00000,CASE_00000_N000004,murder,legal_facts,uncertain,1,facts,For the attempted murder of Yongquan he was sentenced to 25 years' imprisonment to run concurrently.,1,real,synonym
CASE_00000,CASE_00000_N000005,weapon_sharp,narrative,uncertain,1,facts,"The night before that the applicant had stayed at another business in Pontypridd and had taken with him, from that business, a knife.",1,real,synonym
CASE_00000,CASE_00000_N000006,weapon_sharp,narrative,uncertain,1,facts,""", ""My fingerprints are on the knife.",1,real,synonym
CASE_00000,CASE_00000_N000007,strangulation,narrative,uncertain,1,facts,Later that morning the applicant strangled 16-year-old Wenjing to death.,1,real,synonym
CASE_00000,CASE_00000_N000008,unlawful_killing,legal_facts,uncertain,1,facts,Later that morning the applicant strangled 16-year-old Wenjing to death.,1,real,regex
CASE_00000,CASE_00000_N000009,actus_reus_killing,legal_facts,uncertain,1,facts,By that time she had been killed by the applicant.,1,real,synonym
CASE_00000,CASE_00000_N000010,strangulation,narrative,uncertain,1,facts,He had strangled her face to face with his bare hands.,1,real,synonym
CASE_00000,CASE_00000_N000011,weapon_sharp,narrative,uncertain,1,facts,The applicant started to stab him with a knife to his neck.,1,real,synonym
CASE_00000,CASE_00000_N000012,weapon_sharp,narrative,uncertain,0,facts,"He asked the applicant what he was doing but he did not reply and kept attacking Yongquan, aiming the knife towards his head.",1,real,synonym
CASE_00000,CASE_00000_N000013,assault_method_stabbing,narrative,uncertain,1,facts,Yongquan told his wife that the applicant had stabbed him from behind.,1,real,synonym
CASE_00000,CASE_00000_N000014,weapon_sharp,narrative,uncertain,1,facts,Yongquan then managed to get the knife off the applicant and went upstairs.,1,real,synonym
CASE_00000,CASE_00000_N000015,planning_premeditation,narrative,uncertain,1,facts,"For the purposes of sentencing and having heard all of the evidence at trial, the judge formed the view that this was a carefully and callously planned crime which the judge described as a vengeful and murderous attack.",1,real,synonym
CASE_00000,CASE_00000_N000016,murder,legal_facts,uncertain,1,facts,"For the purposes of sentencing and having heard all of the evidence at trial, the judge formed the view that this was a carefully and callously planned crime which the judge described as a vengeful and murderous attack.",1,real,synonym
CASE_00000,CASE_00000_N000017,planning_premeditation,narrative,uncertain,1,facts,"For the purposes of sentencing and having heard all of the evidence at trial, the judge formed the view that this was a carefully and callously planned crime which the judge described as a vengeful and murderous attack.",1,real,regex
CASE_00000,CASE_00000_N000018,motive_jealousy_revenge,narrative,uncertain,1,facts,The motive for this attack on the family was revenge for Meifang having told others about the applicant's gambling and debt.,1,real,synonym
CASE_00000,CASE_00000_N000019,weapon_sharp,narrative,uncertain,1,facts,As part of his plan the appellant had taken with him a knife which he used in the attack on Yongquan.,1,real,synonym
CASE_00000,CASE_00000_N000020,assault_method_stabbing,narrative,uncertain,1,facts,"The applicant first quietly killed Wenjing with his hands and then lured Yongquan to the basement waiting until he was in a vulnerable position bent over the freezer to attack him from behind with two knives, slashing and stabbing him about 20 times.",1,real,synonym
CASE_00000,CASE_00000_N000021,actus_reus_killing,legal_facts,uncertain,1,facts,"The applicant first quietly killed Wenjing with his hands and then lured Yongquan to the basement waiting until he was in a vulnerable position bent over the freezer to attack him from behind with two knives, slashing and stabbing him about 20 times.",1,real,synonym
CASE_00000,CASE_00000_N000022,motive_jealousy_revenge,narrative,uncertain,1,facts,"As the judge summarised it, this was a revenge attack with the aim of killing a family in retribution for a very trivial reason.",1,real,synonym
CASE_00000,CASE_00000_N000023,motive_financial_gain,narrative,uncertain,-1,facts,In fixing the minimum term the judge carefully considered whether this offence could properly be characterised as a murder for gain.,1,real,synonym
CASE_00000,CASE_00000_N000024,murder,legal_facts,uncertain,-1,facts,In fixing the minimum term the judge carefully considered whether this offence could properly be characterised as a murder for gain.,1,real,synonym
CASE_00000,CASE_00000_N000025,motive_financial_gain,narrative,uncertain,0,facts,He was not sure that it was a murder for gain and he did not proceed on that basis.,1,real,synonym
CASE_00000,CASE_00000_N000026,murder,legal_facts,uncertain,0,facts,He was not sure that it was a murder for gain and he did not proceed on that basis.,1,real,synonym
CASE_00000,CASE_00000_N000027,strangulation,narrative,uncertain,1,facts,"Those were the planning of this offence including the deception of the family, the young age of Wenjing, the fact that she was murdered in her own home and the terror that she must have felt when strangled face to face.",1,real,synonym
CASE_00000,CASE_00000_N000028,murder,legal_facts,uncertain,1,facts,"Those were the planning of this offence including the deception of the family, the young age of Wenjing, the fact that she was murdered in her own home and the terror that she must have felt when strangled face to face.",1,real,synonym
CASE_00000,CASE_00000_N000029,planning_premeditation,narrative,uncertain,1,facts,"Those were the planning of this offence including the deception of the family, the young age of Wenjing, the fact that she was murdered in her own home and the terror that she must have felt when strangled face to face.",1,real,regex
CASE_00000,CASE_00000_N000030,murder,legal_facts,uncertain,1,facts,If that offence of murder were to be sentenced in isolation the minimum term the judge would have fixed was one of 22 years' imprisonment.,1,real,synonym
CASE_00000,CASE_00000_N000031,murder,legal_facts,uncertain,1,facts,"The judge had, however, also to take into account the conviction for the attempted murder of Yongquan.",1,real,synonym
CASE_00000,CASE_00000_N000032,murder,legal_facts,court_fact,1,facts,"Having regard to the Definitive Guideline for cases of attempted murder, the judge found this to be a Category 2B case.",1,real,synonym
CASE_00000,CASE_00000_N000033,murder,legal_facts,uncertain,1,facts,Accordingly the starting point for this offence of attempted murder was a sentence of 25 years' imprisonment and the range was 20 to 30 years.,1,real,synonym
CASE_00000,CASE_00000_N000034,planning_premeditation,narrative,uncertain,1,facts,"Again it was planned and, in particular, the applicant had lured his victim into a vulnerable position.",1,real,synonym
CASE_00000,CASE_00000_N000035,planning_premeditation,narrative,uncertain,1,facts,"Again it was planned and, in particular, the applicant had lured his victim into a vulnerable position.",1,real,regex
CASE_00000,CASE_00000_N000036,weapon_sharp,narrative,uncertain,1,facts,"He used the knife or knives that he had brought with him, it was a sustained attack, and the attack on Yongquan has had a significant impact on him, to some extent physical but particularly mental in that he has lost his confidence.",1,real,synonym
CASE_00000,CASE_00000_N000037,murder,legal_facts,uncertain,0,facts,"He similarly correctly observed that he could not simply add that to the period of the minimum term for the offence of murder, but rather that he should have regard to the criminality as a whole.",1,real,synonym
CASE_00000,CASE_00000_N000038,murder,legal_facts,uncertain,1,facts,In doing so he explained clearly the approach he was taking and that he was uplifting the minimum term to reflect the conviction for attempted murder and the overall criminality of the applicant.,1,real,synonym
CASE_00000,CASE_00000_N000039,murder,legal_facts,uncertain,-1,facts,"Mr Crowther QC, who appears pro bono on behalf of the applicant accepts that uplifting the minimum term to take account of the conviction for attempted murder was the proper approach and indeed the one that he had advocated on behalf of the applicant.",1,real,synonym
CASE_00000,CASE_00000_N000040,murder,legal_facts,uncertain,1,facts,There was some commonality in the aggravating features relating to the count of murder and the count of attempted murder.,1,real,synonym
CASE_00000,CASE_00000_N000041,planning_premeditation,narrative,uncertain,1,facts,That is because they were part of the planned sequence of this attack.,1,real,synonym
CASE_00000,CASE_00000_N000042,planning_premeditation,narrative,uncertain,1,facts,That is because they were part of the planned sequence of this attack.,1,real,regex
CASE_00000,CASE_00000_N000043,murder,legal_facts,uncertain,1,facts,The planning of this attack therefore necessarily played a part both in the judge's assessment of the minimum term that he would have fixed if the offence of murder had been looked at in isolation and in the fixing of the determinate sentence for the attempted murder.,1,real,synonym
CASE_00000,CASE_00000_N000044,planning_premeditation,narrative,uncertain,1,facts,The planning of this attack therefore necessarily played a part both in the judge's assessment of the minimum term that he would have fixed if the offence of murder had been looked at in isolation and in the fixing of the determinate sentence for the attempted murder.,1,real,regex
CASE_00000,CASE_00000_N000045,murder,legal_facts,uncertain,1,facts,"In indicating the minimum term that he would have fixed looking at the count of murder in isolation, he took account of the further aggravating features of that offence.",1,real,synonym
CASE_00000,CASE_00000_N000046,murder,legal_facts,uncertain,1,facts,Similarly in fixing the determinate sentence for the attempted murder charge he took account of the aggravating features of that offence.,1,real,synonym
CASE_00000,CASE_00000_N000047,murder,legal_facts,uncertain,1,facts,"Mahmud, for example, was a case in which there was a single act of arson which resulted in multiple deaths or attempted murders.",1,real,synonym
CASE_00000,CASE_00000_N000048,murder,legal_facts,uncertain,1,facts,The murder of more than one person meant that the starting point was a minimum term of 30 years and any uplift for the offences of attempted murder has to be seen in the context of that high starting point.,1,real,synonym
CASE_00000,CASE_00000_N000049,murder,legal_facts,uncertain,1,facts,"The starting point was a lower one, but one which the judge was entitled to increase both for the aggravating features of the murder and for the attempted murder.",1,real,synonym
CASE_00002,CASE_00002_N000050,location_public_space,narrative,uncertain,1,facts,Computer Aided Transcript of the Stenograph Notes of Smith Bernal Wordwave Limited 190 Fleet Street London EC4A 2AG,1,real,synonym
CASE_00002,CASE_00002_N000051,location_public_space,narrative,uncertain,1,facts,MR P THOMAS QC appeared on behalf of the APPELLANT MR P PARKER QC appeared on behalf of the CROWN ____________________ ____________________,1,real,synonym
CASE_00002,CASE_00002_N000052,murder,legal_facts,uncertain,1,facts,On 27 March 1996 the appellant (now 59) was convicted of the murder of Clarence Cooper aged 84 and of a conspiracy to burgle.,1,real,synonym
CASE_00002,CASE_00002_N000053,actus_reus_killing,legal_facts,uncertain,1,facts,"Clarence Cooper was killed during the course of a burglary of which the appellant, on the prosecution's case, was the master mind.",1,real,synonym
CASE_00002,CASE_00002_N000054,murder,legal_facts,uncertain,1,facts,"He appeals against his conviction for murder following a reference by the Criminal Cases Review Commission (""CCRC"").",1,real,synonym
CASE_00002,CASE_00002_N000055,murder,legal_facts,uncertain,1,facts,"On count 2, Mr Webb was jointly convicted with Michael Micklewright of murdering Clarence Cooper (aged 84 years) at Mr Cooper's home in Alexandra Road Walsall.",1,real,synonym
CASE_00002,CASE_00002_N000056,murder,legal_facts,uncertain,0,facts,Jason Matthews was found not guilty of murder but guilty of manslaughter.,1,real,synonym
CASE_00002,CASE_00002_N000057,murder,legal_facts,uncertain,1,facts,Evidence was presented that Mr Cooper was murdered during a burglary at his home on the night of 8/9 August 1994.,1,real,synonym
CASE_00002,CASE_00002_N000058,weapon_sharp,narrative,uncertain,1,facts,Mr Cooper had been stabbed 12 times in the neck with a sharp instrument but had died from asphyxia caused by a handkerchief (probably used as a gag) which had been pushed into his mouth.,1,real,synonym
CASE_00002,CASE_00002_N000059,assault_method_stabbing,narrative,uncertain,1,facts,Mr Cooper had been stabbed 12 times in the neck with a sharp instrument but had died from asphyxia caused by a handkerchief (probably used as a gag) which had been pushed into his mouth.,1,real,synonym
CASE_00002,CASE_00002_N000060,weapon_sharp,narrative,uncertain,1,facts,"Mr Webb also accepted at his interviews that on the night of the murder the gang left his house to commit burglary and were carrying screwdrivers, Stanley knives and an Army knife.",1,real,synonym
CASE_00002,CASE_00002_N000061,murder,legal_facts,uncertain,1,facts,"Mr Webb also accepted at his interviews that on the night of the murder the gang left his house to commit burglary and were carrying screwdrivers, Stanley knives and an Army knife.",1,real,synonym
CASE_00002,CASE_00002_N000062,murder,legal_facts,uncertain,1,facts,The prosecution contended that the parties had entered into a conspiracy to burgle Mr Cooper's home at night and that Mr Cooper was murdered when he disturbed them.,1,real,synonym
CASE_00002,CASE_00002_N000063,location_public_space,narrative,uncertain,-1,facts,"As to Mr Webb's role, the case as left to the jury was that Mr Webb might have physically participated in the burglary by entering Mr Cooper's house; that he might have remained outside the premises; or, he might have remained inside his own home having entered into a joint enterprise with the others.",1,real,synonym
CASE_00002,CASE_00002_N000064,accessory_or_complicity,legal_facts,uncertain,-1,facts,"As to Mr Webb's role, the case as left to the jury was that Mr Webb might have physically participated in the burglary by entering Mr Cooper's house; that he might have remained outside the premises; or, he might have remained inside his own home having entered into a joint enterprise with the others.",1,real,synonym
