case_id,conviction_safety,appeal_grounds,jury_misdirection,admissibility_evidence,sentence_review,procedural_fairness,legal_grounds_only
CASE_00028,False,False,False,False,False,False,False
CASE_00222,False,False,False,False,False,False,False
CASE_00140,False,False,False,False,False,False,False
CASE_00164,False,False,False,False,False,False,False
CASE_00750,False,False,False,False,False,False,False
CASE_00194,False,False,False,False,False,False,False
CASE_00534,False,False,False,False,False,False,False
CASE_00689,False,False,False,False,False,False,False
CASE_00927,False,False,False,False,False,False,False
CASE_00374,False,False,False,False,False,False,False
CASE_00337,False,False,False,False,False,False,False
CASE_00137,False,False,False,False,False,False,False
CASE_00622,False,False,False,False,False,False,False
CASE_00278,False,False,False,False,False,False,False
CASE_00855,False,False,False,False,False,False,False
CASE_00559,False,False,False,False,False,False,False
CASE_00824,False,False,False,False,False,False,False
CASE_00128,False,False,False,False,False,False,False
CASE_00345,False,False,False,False,False,False,False
CASE_00295,False,False,False,False,False,False,False
CASE_00603,False,False,False,False,False,False,False
CASE_00039,False,False,False,False,False,False,False
CASE_00059,False,False,False,False,False,False,False
CASE_00088,False,False,False,False,False,False,False
CASE_00796,False,False,False,False,False,False,False
CASE_00858,False,False,False,False,False,False,False
CASE_00009,False,False,False,False,False,False,False
CASE_00590,False,False,False,False,False,False,False
CASE_00704,False,False,False,False,False,False,False
CASE_00242,False,False,False,False,False,False,False
CASE_00254,False,False,False,False,False,False,False
CASE_00398,False,False,False,False,False,False,False
CASE_00103,False,False,False,False,False,False,False
CASE_00743,False,False,False,False,False,False,False
CASE_00041,False,False,False,False,False,False,False
