case_id,trial_verdict,appeal_outcome
CASE_00000,Unknown,SENTENCE
CASE_00001,Unknown,SENTENCE
CASE_00002,Murder,SENTENCE
CASE_00003,Murder,UPHELD
CASE_00004,Murder,UPHELD
CASE_00005,Murder,UPHELD
CASE_00006,Unknown,SENTENCE
CASE_00007,Murder,UPHELD
CASE_00008,Unknown,QUASHED
CASE_00009,Murder,RETRIAL
CASE_00010,Murder,UPHELD
CASE_00011,Not Guilty,SENTENCE
CASE_00012,Murder,SENTENCE
CASE_00013,Murder,UPHELD
CASE_00014,Murder,UPHELD
CASE_00015,Murder,UPHELD
CASE_00016,Murder,SENTENCE
CASE_00017,Murder,UPHELD
CASE_00018,Murder,UPHELD
CASE_00019,Murder,QUASHED
CASE_00020,Murder,QUASHED
CASE_00021,Manslaughter,RETRIAL
CASE_00022,Murder,UPHELD
CASE_00023,Murder,UPHELD
CASE_00024,Manslaughter,UPHELD
CASE_00025,Murder,UPHELD
CASE_00026,Manslaughter,SENTENCE
CASE_00027,Murder,UPHELD
CASE_00028,Murder,SENTENCE
CASE_00029,Murder,UPHELD
CASE_00030,Murder,UPHELD
CASE_00031,Not Guilty,QUASHED
CASE_00033,Murder,UPHELD
CASE_00034,Unknown,SENTENCE
CASE_00035,Murder,UPHELD
CASE_00036,Murder,SENTENCE
CASE_00037,Murder,UPHELD
CASE_00038,Murder,UPHELD
CASE_00039,Murder,UPHELD
CASE_00040,Murder,UPHELD
CASE_00041,Murder,UPHELD
CASE_00042,Murder,SENTENCE
CASE_00043,Murder,UPHELD
CASE_00044,Murder,UPHELD
CASE_00045,Unknown,UPHELD
CASE_00046,Murder,REDUCED
CASE_00047,Manslaughter,UPHELD
CASE_00048,Murder,REDUCED
CASE_00049,Murder,UPHELD
CASE_00050,Murder,UPHELD
CASE_00051,Manslaughter,UPHELD
CASE_00052,Murder,UPHELD
CASE_00053,Not Guilty,QUASHED
CASE_00054,Murder,QUASHED
CASE_00055,Murder,SENTENCE
CASE_00056,Murder,QUASHED
CASE_00057,Murder,UPHELD
CASE_00058,Murder,SENTENCE
CASE_00059,Manslaughter,QUASHED
CASE_00060,Murder,QUASHED
CASE_00061,Murder,SENTENCE
CASE_00062,Manslaughter,UPHELD
CASE_00063,Murder,UPHELD
CASE_00064,Murder,UPHELD
CASE_00065,Unknown,UPHELD
CASE_00066,Murder,SENTENCE
CASE_00067,Murder,SENTENCE
CASE_00068,Murder,REDUCED
CASE_00069,Unknown,SENTENCE
CASE_00070,Murder,UPHELD
CASE_00071,Not Guilty,RETRIAL
CASE_00072,Unknown,UPHELD
CASE_00073,Murder,UPHELD
CASE_00074,Murder,QUASHED
CASE_00075,Murder,UPHELD
CASE_00076,Murder,SENTENCE
CASE_00077,Murder,UPHELD
CASE_00078,Murder,UPHELD
CASE_00079,Unknown,SENTENCE
CASE_00080,Murder,SENTENCE
CASE_00081,Murder,RETRIAL
CASE_00082,Murder,UPHELD
CASE_00083,Murder,UPHELD
CASE_00084,Unknown,SENTENCE
CASE_00085,Murder,UPHELD
CASE_00086,Murder,SENTENCE
CASE_00087,Murder,SENTENCE
CASE_00088,Murder,SENTENCE
CASE_00089,Murder,UPHELD
CASE_00090,Murder,UPHELD
CASE_00091,Murder,SENTENCE
CASE_00092,Murder,UPHELD
CASE_00093,Murder,REDUCED
CASE_00094,Murder,UPHELD
CASE_00095,Murder,UPHELD
CASE_00096,Murder,UPHELD
CASE_00097,Murder,UPHELD
CASE_00098,Murder,UPHELD
CASE_00099,Murder,UPHELD
CASE_00100,Unknown,UNKNOWN
CASE_00101,Murder,UPHELD
CASE_00102,Manslaughter,QUASHED
CASE_00103,Murder,SENTENCE
CASE_00104,Manslaughter,QUASHED
CASE_00105,Manslaughter,SENTENCE
CASE_00106,Murder,SENTENCE
CASE_00107,Murder,RETRIAL
CASE_00108,Murder,SENTENCE
CASE_00109,Manslaughter,SENTENCE
CASE_00110,Not Guilty,UPHELD
CASE_00111,Murder,SENTENCE
CASE_00112,Murder,UPHELD
CASE_00113,Unknown,UNKNOWN
CASE_00114,Murder,UPHELD
CASE_00115,Unknown,UPHELD
CASE_00116,Murder,UPHELD
CASE_00117,Murder,SENTENCE
CASE_00118,Murder,UPHELD
CASE_00119,Murder,UPHELD
CASE_00032,Manslaughter,UNKNOWN
CASE_00124,Murder,SENTENCE
CASE_00125,Murder,REDUCED
CASE_00126,Murder,UPHELD
CASE_00127,Murder,UPHELD
CASE_00128,Murder,UPHELD
CASE_00130,Murder,SENTENCE
CASE_00131,Murder,UPHELD
CASE_00133,Murder,UPHELD
CASE_00136,Unknown,UNKNOWN
CASE_00137,Murder,QUASHED
CASE_00138,Murder,QUASHED
CASE_00120,Murder,SENTENCE
CASE_00121,Manslaughter,UPHELD
CASE_00122,Unknown,UNKNOWN
CASE_00123,Murder,RETRIAL
CASE_00129,Murder,SENTENCE
CASE_00139,Murder,UPHELD
CASE_00140,Murder,UPHELD
CASE_00141,Murder,RETRIAL
CASE_00143,Murder,SENTENCE
CASE_00146,Murder,UNKNOWN
CASE_00151,Murder,UPHELD
CASE_00152,Murder,UPHELD
CASE_00153,Manslaughter,SENTENCE
CASE_00154,Murder,SENTENCE
CASE_00155,Murder,UNKNOWN
CASE_00156,Murder,SENTENCE
CASE_00159,Murder,UPHELD
CASE_00160,Murder,UPHELD
CASE_00161,Murder,UPHELD
CASE_00162,Murder,UPHELD
CASE_00164,Murder,UPHELD
CASE_00165,Murder,UPHELD
CASE_00166,Murder,UPHELD
CASE_00167,Manslaughter,QUASHED
CASE_00168,Murder,UPHELD
CASE_00169,Murder,SENTENCE
CASE_00171,Murder,UPHELD
CASE_00172,Murder,UPHELD
CASE_00174,Murder,SENTENCE
CASE_00175,Murder,UPHELD
CASE_00176,Murder,SENTENCE
CASE_00178,Murder,UPHELD
CASE_00134,Murder,SENTENCE
