row_type,metric,value,class,interpretation,bin_label,mean_pred,obs_freq,n_cases
metric,brier_murder,0.19698566282012392,Murder,,,,,
metric,brier_manslaughter,0.12866327676873768,Manslaughter,,,,,
metric,brier_not_guilty,0.10058367875642481,Not_Guilty,,,,,
metric,brier_multiclass_overall,0.42623261834528636,overall,,,,,
metric,ece_murder,0.004507412209122761,Murder,well calibrated,,,,
reliability_bin,,,Murder,,0.0-0.1,,,0.0
reliability_bin,,,Murder,,0.1-0.2,,,0.0
reliability_bin,,,Murder,,0.2-0.3,,,0.0
reliability_bin,,,Murder,,0.3-0.4,,,0.0
reliability_bin,,,Murder,,0.4-0.5,,,0.0
reliability_bin,,,Murder,,0.5-0.6,,,0.0
reliability_bin,,,Murder,,0.6-0.7,0.6727977333715782,0.6823529411764706,340.0
reliability_bin,,,Murder,,0.7-0.8,0.7507762988814282,0.7486263736263736,728.0
reliability_bin,,,Murder,,0.8-0.9,,,0.0
reliability_bin,,,Murder,,0.9-1.0,,,0.0
reliability_bin,,,Manslaughter,,0.0-0.1,0.0503238664673642,0.05660377358490566,106.0
reliability_bin,,,Manslaughter,,0.1-0.2,0.14369678638694242,0.14709851551956815,741.0
reliability_bin,,,Manslaughter,,0.2-0.3,0.2416548749540082,0.22624434389140272,221.0
reliability_bin,,,Manslaughter,,0.3-0.4,,,0.0
reliability_bin,,,Manslaughter,,0.4-0.5,,,0.0
reliability_bin,,,Manslaughter,,0.5-0.6,,,0.0
reliability_bin,,,Manslaughter,,0.6-0.7,,,0.0
reliability_bin,,,Manslaughter,,0.7-0.8,,,0.0
reliability_bin,,,Manslaughter,,0.8-0.9,,,0.0
reliability_bin,,,Manslaughter,,0.9-1.0,,,0.0
reliability_bin,,,Not_Guilty,,0.0-0.1,0.0710307470817872,0.07344632768361582,531.0
reliability_bin,,,Not_Guilty,,0.1-0.2,0.1490592468274792,0.14634146341463414,410.0
reliability_bin,,,Not_Guilty,,0.2-0.3,0.22545378933218338,0.2125984251968504,127.0
reliability_bin,,,Not_Guilty,,0.3-0.4,,,0.0
reliability_bin,,,Not_Guilty,,0.4-0.5,,,0.0
reliability_bin,,,Not_Guilty,,0.5-0.6,,,0.0
reliability_bin,,,Not_Guilty,,0.6-0.7,,,0.0
reliability_bin,,,Not_Guilty,,0.7-0.8,,,0.0
reliability_bin,,,Not_Guilty,,0.8-0.9,,,0.0
reliability_bin,,,Not_Guilty,,0.9-1.0,,,0.0
