node,P_node_given_murder,P_node_marginal,CR
VoluntaryAct,0.814667386204911,0.8143189755529686,1.000427855253779
DeathOfHumanBeing,0.9148262828820624,0.9132712456344587,1.0017027112755787
FactualCausation,0.19442390042991228,0.19266589057043074,1.009124655403593
LegalCausation,0.29083338871921793,0.28579743888242143,1.0176206961702983
UnlawfulKilling,0.6838605663682873,0.6687654719255518,1.022571581632755
IntentToKill,0.2405739107832513,0.24039580908032596,1.0007408685850503
IntentToCauseGBH,0.16131203756283616,0.1612339930151339,1.0004840452453159
MensReaIntent,0.6889802843316094,0.6878467635150882,1.0016479263647744
MaliceAforethought,0.5176705928177612,0.511010265837069,1.0130336461436487
LossOfControl,0.09217974903008122,0.09371362048894064,0.9836323530042207
DiminishedResponsibility,0.17092385580621033,0.17171129220023282,0.995414183983286
Defences,0.23497916527702875,0.2422035940214845,0.9701720828146964
