case_id,P(Murder)_full,P(Murder)_partial,delta_P(Murder),P(Manslaughter)_full,P(Manslaughter)_partial,delta_P(Manslaughter),actual_verdict
CASE_00895,0.6654088050314465,0.7285100703923916,0.063101265360945,0.140125786163522,0.1366621580118645,-0.0034636281516574,Murder
CASE_00107,0.6654088050314465,0.7285100703923916,0.063101265360945,0.140125786163522,0.1366621580118645,-0.0034636281516574,Murder
NEG_00003,0.6654088050314465,0.7285100703923916,0.063101265360945,0.140125786163522,0.1366621580118645,-0.0034636281516574,Murder
CASE_00495,0.6654088050314465,0.7038993417618888,0.0384905367304423,0.140125786163522,0.138013040787825,-0.002112745375697,Manslaughter
CASE_00978,0.7250737463126844,0.6965502153713725,-0.0285235309413118,0.2436578171091445,0.213977926805347,-0.0296798903037975,Manslaughter
CASE_00221,0.7605669450771956,0.7320896655766604,-0.0284772795005351,0.1349025563148569,0.1364656740494455,0.0015631177345885,Manslaughter
CASE_00986,0.7605669450771956,0.7320896655766604,-0.0284772795005351,0.1349025563148569,0.1364656740494455,0.0015631177345885,Murder
CASE_00612,0.7605669450771956,0.7320896655766604,-0.0284772795005351,0.1349025563148569,0.1364656740494455,0.0015631177345885,Murder
CASE_00364,0.7199800697558545,0.7482964640591003,0.0283163943032458,0.0503238664673642,0.1209443768661353,0.0706205103987711,Murder
CASE_00950,0.7250737463126844,0.6997352636644385,-0.0253384826482458,0.2436578171091445,0.2172920986778616,-0.0263657184312829,Murder
CASE_00720,0.7603894974786993,0.736325287950268,-0.0240642095284313,0.1511041557989914,0.0910885075832863,-0.0600156482157051,Not Guilty
CASE_00580,0.7199800697558545,0.736325287950268,0.0163452181944134,0.0503238664673642,0.0910885075832863,0.040764641115922,Not Guilty
CASE_00697,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00267,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00086,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00051,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Manslaughter
CASE_00140,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00798,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00088,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
CASE_00142,0.7603894974786993,0.7482964640591003,-0.0120930334195989,0.1511041557989914,0.1209443768661353,-0.0301597789328561,Murder
