src_label,dst_label,support_cases,obs_count,mean_score,max_score,src_type,dst_type
murder,murder,44,234,0.3786324786324786,0.46,legal_facts,legal_facts
confession_or_admission,murder,19,36,0.5876666666666667,0.82,evidence,legal_facts
weapon_firearm,murder,15,29,0.7797586206896552,0.92,narrative,legal_facts
murder,weapon_firearm,15,29,0.3566551724137931,0.47,legal_facts,narrative
diminished_responsibility,diminished_responsibility,13,76,0.429578947368421,0.57,legal_facts,legal_facts
diminished_responsibility,murder,13,70,0.3937142857142857,0.57,legal_facts,legal_facts
murder,diminished_responsibility,13,70,0.3937142857142857,0.57,legal_facts,legal_facts
assault_method_shooting,murder,11,40,0.74195,0.92,narrative,legal_facts
actus_reus_killing,murder,10,19,0.4221052631578947,0.57,legal_facts,legal_facts
murder,actus_reus_killing,10,19,0.4221052631578947,0.57,legal_facts,legal_facts
accessory_or_complicity,murder,7,13,0.419076923076923,0.57,legal_facts,legal_facts
murder,accessory_or_complicity,7,13,0.419076923076923,0.57,legal_facts,legal_facts
weapon_firearm,confession_or_admission,5,5,0.6639999999999999,0.72,narrative,evidence
confession_or_admission,weapon_firearm,5,5,0.434,0.47,evidence,narrative
assault_method_shooting,actus_reus_killing,4,5,0.86,0.92,narrative,legal_facts
weapon_present,murder,4,10,0.635,0.92,narrative,legal_facts
actus_reus_killing,assault_method_shooting,4,5,0.41,0.47,legal_facts,narrative
weapon_firearm,weapon_firearm,4,18,0.3844444444444444,0.42,narrative,narrative
actus_reus_killing,diminished_responsibility,4,12,0.3666666666666667,0.42,legal_facts,legal_facts
diminished_responsibility,actus_reus_killing,4,12,0.3666666666666667,0.42,legal_facts,legal_facts
location_public_space,murder,3,9,0.7722222222222223,0.92,narrative,legal_facts
assault_method_shooting,weapon_firearm,3,16,0.435625,0.57,narrative,narrative
weapon_firearm,assault_method_shooting,3,16,0.435625,0.57,narrative,narrative
assault_method_stabbing,murder,2,4,0.775,0.79,narrative,legal_facts
weapon_firearm,actus_reus_killing,2,3,0.7076666666666668,0.77,narrative,legal_facts
motive_jealousy_revenge,murder,2,2,0.6965,0.81,narrative,legal_facts
weapon_sharp,murder,2,5,0.53,0.77,narrative,legal_facts
accessory_or_complicity,accessory_or_complicity,2,4,0.42,0.42,legal_facts,legal_facts
accessory_or_complicity,actus_reus_killing,2,3,0.42,0.42,legal_facts,legal_facts
actus_reus_killing,accessory_or_complicity,2,3,0.42,0.42,legal_facts,legal_facts
assault_method_shooting,assault_method_shooting,2,8,0.42,0.42,narrative,narrative
self_defence_legal,self_defence_legal,2,4,0.39399999999999996,0.57,legal_facts,legal_facts
weapon_sharp,actus_reus_killing,1,1,0.92,0.92,narrative,legal_facts
assault_method_shooting,accessory_or_complicity,1,4,0.8075,0.92,narrative,legal_facts
alibi_claim,murder,1,2,0.77,0.77,narrative,legal_facts
assault_method_stabbing,accessory_or_complicity,1,2,0.77,0.77,narrative,legal_facts
location_public_space,actus_reus_killing,1,1,0.77,0.77,narrative,legal_facts
prior_threats,murder,1,1,0.77,0.77,narrative,legal_facts
weapon_present,actus_reus_killing,1,1,0.77,0.77,narrative,legal_facts
weapon_sharp,diminished_responsibility,1,2,0.77,0.77,narrative,legal_facts
weapon_sharp,self_defence_legal,1,2,0.77,0.77,narrative,legal_facts
confession_or_admission,diminished_responsibility,1,4,0.67,0.67,evidence,legal_facts
assault_method_shooting,gunshot_residue_gsr,1,12,0.645,0.87,narrative,evidence
weapon_firearm,gunshot_residue_gsr,1,16,0.641875,0.87,narrative,evidence
gunshot_residue_gsr,murder,1,8,0.589,0.67,evidence,legal_facts
encounter,murder,1,3,0.583,0.583,narrative,legal_facts
weapon_firearm,accessory_or_complicity,1,2,0.583,0.583,narrative,legal_facts
assault_method_shooting,motive_jealousy_revenge,1,1,0.57,0.57,narrative,narrative
motive_jealousy_revenge,assault_method_shooting,1,1,0.57,0.57,narrative,narrative
motive_jealousy_revenge,accessory_or_complicity,1,1,0.51,0.51,narrative,legal_facts
actus_reus_killing,weapon_sharp,1,1,0.47,0.47,legal_facts,narrative
assault_method_shooting,manslaughter_unlawful_act,1,1,0.47,0.47,narrative,legal_facts
weapon_present,accessory_or_complicity,1,2,0.47,0.47,narrative,legal_facts
weapon_present,manslaughter_unlawful_act,1,1,0.47,0.47,narrative,legal_facts
weapon_sharp,accessory_or_complicity,1,4,0.47,0.47,narrative,legal_facts
assault_method_shooting,confession_or_admission,1,1,0.44,0.44,narrative,evidence
location_public_space,confession_or_admission,1,1,0.44,0.44,narrative,evidence
gunshot_residue_gsr,assault_method_shooting,1,12,0.42649999999999993,0.62,evidence,narrative
gunshot_residue_gsr,weapon_firearm,1,16,0.423375,0.62,evidence,narrative
alibi_claim,alibi_claim,1,2,0.42,0.42,narrative,narrative
assault_method_shooting,location_public_space,1,1,0.42,0.42,narrative,narrative
assault_method_shooting,weapon_present,1,1,0.42,0.42,narrative,narrative
insanity,murder,1,1,0.42,0.42,legal_facts,legal_facts
location_public_space,assault_method_shooting,1,1,0.42,0.42,narrative,narrative
murder,insanity,1,1,0.42,0.42,legal_facts,legal_facts
weapon_present,assault_method_shooting,1,1,0.42,0.42,narrative,narrative
confession_or_admission,actus_reus_killing,1,1,0.41,0.41,evidence,legal_facts
diminished_responsibility,confession_or_admission,1,4,0.37,0.37,legal_facts,evidence
encounter,diminished_responsibility,1,2,0.358,0.358,narrative,legal_facts
accessory_or_complicity,assault_method_shooting,1,4,0.3575,0.47,legal_facts,narrative
