src_label,dst_label,cases_with,pct_cases
murder,murder,57,90.5
murder,location_public_space,53,84.1
location_public_space,murder,53,84.1
confession_or_admission,murder,41,65.1
murder,confession_or_admission,41,65.1
location_public_space,confession_or_admission,40,63.5
confession_or_admission,location_public_space,40,63.5
location_public_space,location_public_space,38,60.3
actus_reus_killing,murder,37,58.7
murder,actus_reus_killing,37,58.7
actus_reus_killing,location_public_space,34,54.0
location_public_space,actus_reus_killing,34,54.0
confession_or_admission,confession_or_admission,29,46.0
confession_or_admission,actus_reus_killing,29,46.0
actus_reus_killing,confession_or_admission,29,46.0
weapon_sharp,murder,25,39.7
murder,weapon_sharp,25,39.7
joint_enterprise_presence,murder,25,39.7
planning_premeditation,murder,25,39.7
murder,planning_premeditation,25,39.7
murder,joint_enterprise_presence,25,39.7
location_public_space,joint_enterprise_presence,23,36.5
joint_enterprise_presence,location_public_space,23,36.5
weapon_sharp,location_public_space,23,36.5
location_public_space,weapon_sharp,23,36.5
murder,weapon_firearm,21,33.3
location_public_space,planning_premeditation,21,33.3
confession_or_admission,joint_enterprise_presence,21,33.3
planning_premeditation,location_public_space,21,33.3
weapon_firearm,murder,21,33.3
joint_enterprise_presence,confession_or_admission,21,33.3
planning_premeditation,confession_or_admission,20,31.7
confession_or_admission,planning_premeditation,20,31.7
actus_reus_killing,actus_reus_killing,20,31.7
planning_premeditation,planning_premeditation,19,30.2
confession_or_admission,weapon_sharp,19,30.2
weapon_sharp,confession_or_admission,19,30.2
weapon_firearm,location_public_space,18,28.6
location_public_space,weapon_firearm,18,28.6
weapon_sharp,weapon_sharp,18,28.6
actus_reus_killing,joint_enterprise_presence,17,27.0
assault_method_shooting,murder,17,27.0
murder,assault_method_shooting,17,27.0
joint_enterprise_presence,actus_reus_killing,17,27.0
murder,weapon_present,16,25.4
weapon_present,murder,16,25.4
assault_method_blunt_force,murder,15,23.8
actus_reus_killing,planning_premeditation,15,23.8
assault_method_stabbing,murder,15,23.8
murder,assault_method_blunt_force,15,23.8
accessory_or_complicity,murder,15,23.8
confession_or_admission,weapon_firearm,15,23.8
weapon_sharp,actus_reus_killing,15,23.8
planning_premeditation,actus_reus_killing,15,23.8
murder,accessory_or_complicity,15,23.8
murder,assault_method_stabbing,15,23.8
weapon_firearm,confession_or_admission,15,23.8
actus_reus_killing,weapon_sharp,15,23.8
assault_method_shooting,weapon_firearm,14,22.2
murder,encounter,14,22.2
encounter,murder,14,22.2
assault_method_stabbing,location_public_space,14,22.2
actus_reus_killing,weapon_firearm,14,22.2
murder,alibi_claim,14,22.2
alibi_claim,confession_or_admission,14,22.2
joint_enterprise_presence,weapon_firearm,14,22.2
alibi_claim,location_public_space,14,22.2
location_public_space,accessory_or_complicity,14,22.2
alibi_claim,murder,14,22.2
weapon_firearm,actus_reus_killing,14,22.2
weapon_firearm,joint_enterprise_presence,14,22.2
weapon_firearm,assault_method_shooting,14,22.2
assault_method_shooting,assault_method_shooting,14,22.2
weapon_firearm,weapon_firearm,14,22.2
assault_method_stabbing,weapon_sharp,14,22.2
confession_or_admission,alibi_claim,14,22.2
accessory_or_complicity,location_public_space,14,22.2
weapon_sharp,assault_method_stabbing,14,22.2
location_public_space,alibi_claim,14,22.2
location_public_space,assault_method_stabbing,14,22.2
joint_enterprise_presence,planning_premeditation,13,20.6
assault_method_shooting,location_public_space,13,20.6
assault_method_shooting,actus_reus_killing,13,20.6
encounter,location_public_space,13,20.6
confession_or_admission,assault_method_stabbing,13,20.6
accessory_or_complicity,accessory_or_complicity,13,20.6
accessory_or_complicity,confession_or_admission,13,20.6
assault_method_stabbing,confession_or_admission,13,20.6
joint_enterprise_presence,joint_enterprise_presence,13,20.6
location_public_space,encounter,13,20.6
planning_premeditation,joint_enterprise_presence,13,20.6
confession_or_admission,accessory_or_complicity,13,20.6
actus_reus_killing,assault_method_shooting,13,20.6
