label,total_occurrences,cases_with,pct_cases
murder,996,59,93.7
location_public_space,220,54,85.7
confession_or_admission,204,41,65.1
actus_reus_killing,115,37,58.7
weapon_sharp,194,25,39.7
joint_enterprise_presence,51,25,39.7
planning_premeditation,107,25,39.7
weapon_firearm,346,21,33.3
assault_method_shooting,265,17,27.0
accessory_or_complicity,94,17,27.0
weapon_present,57,16,25.4
assault_method_stabbing,58,15,23.8
assault_method_blunt_force,30,15,23.8
alibi_claim,107,14,22.2
encounter,27,14,22.2
diminished_responsibility,126,12,19.0
location_private_dwelling,16,11,17.5
mens_rea_intent_to_kill,35,11,17.5
defendant_intoxicated,65,11,17.5
self_defence_legal,134,10,15.9
unlawful_killing,19,10,15.9
wound_sharp_force,15,9,14.3
motive_jealousy_revenge,12,8,12.7
strangulation,20,7,11.1
causation,42,7,11.1
abduction,12,6,9.5
insanity,50,5,7.9
tied_restraint,4,4,6.3
weapon_blunt,7,4,6.3
boasting_admissions,3,3,4.8
weapon_petrol_fire,9,3,4.8
loss_of_control,34,3,4.8
lawful_killing_self_defence,4,3,4.8
prior_threats,2,2,3.2
prior_conflict,4,2,3.2
inconsistent_statements,2,2,3.2
flight_after_offence,4,2,3.2
poisoning,7,2,3.2
injury_defensive_wounds,1,1,1.6
manslaughter_unlawful_act,1,1,1.6
victim_intoxicated,1,1,1.6
prior_assault,1,1,1.6
financial_transactions_gain,2,1,1.6
withdrawal_effective,1,1,1.6
motive_financial_gain,2,1,1.6
