case_id,num_nodes,num_unique_labels,num_edges,num_label_edges,labels_present_pct,num_missing_labels
NEG_00000,2,1,2,1,1.3,74
NEG_00001,6,5,30,21,6.7,70
NEG_00002,3,2,6,3,2.7,73
NEG_00003,4,2,12,3,2.7,73
NEG_00004,3,2,6,3,2.7,73
NEG_00005,3,3,6,6,4.0,72
NEG_00006,1,1,0,0,1.3,74
NEG_00007,5,2,20,3,2.7,73
NEG_00008,5,2,20,3,2.7,73
NEG_00009,5,2,20,3,2.7,73
NEG_00010,5,2,20,3,2.7,73
NEG_00011,5,2,20,3,2.7,73
NEG_00012,10,5,90,21,6.7,70
NEG_00013,2,2,2,2,2.7,73
NEG_00014,3,1,6,1,1.3,74
NEG_00015,3,1,6,1,1.3,74
NEG_00016,13,4,156,16,5.3,71
NEG_00017,4,2,12,4,2.7,73
NEG_00018,5,4,20,13,5.3,71
NEG_00019,1,1,0,0,1.3,74
NEG_00020,5,2,20,3,2.7,73
NEG_00021,1,1,0,0,1.3,74
NEG_00022,1,1,0,0,1.3,74
NEG_00023,1,1,0,0,1.3,74
NEG_00024,1,1,0,0,1.3,74
NEG_00025,4,2,12,4,2.7,73
NEG_00026,3,1,6,1,1.3,74
NEG_00027,3,1,6,1,1.3,74
NEG_00028,3,1,6,1,1.3,74
NEG_00029,1,1,0,0,1.3,74
NEG_00030,1,1,0,0,1.3,74
NEG_00031,1,1,0,0,1.3,74
NEG_00032,6,3,30,8,4.0,72
NEG_00033,1,1,0,0,1.3,74
NEG_00034,7,5,42,22,6.7,70
NEG_00035,1,1,0,0,1.3,74
NEG_00036,2,2,2,2,2.7,73
NEG_00037,3,3,6,6,4.0,72
NEG_00038,1,1,0,0,1.3,74
NEG_00039,3,3,6,6,4.0,72
NEG_00040,8,3,56,8,4.0,72
NEG_00041,1,1,0,0,1.3,74
NEG_00042,1,1,0,0,1.3,74
NEG_00043,2,2,2,2,2.7,73
NEG_00044,2,1,2,1,1.3,74
NEG_00045,8,5,56,23,6.7,70
NEG_00046,2,1,2,1,1.3,74
NEG_00047,2,2,2,2,2.7,73
NEG_00048,1,1,0,0,1.3,74
NEG_00049,1,1,0,0,1.3,74
NEG_00050,1,1,0,0,1.3,74
NEG_00051,4,2,12,3,2.7,73
NEG_00052,4,3,12,7,4.0,72
NEG_00053,4,3,12,7,4.0,72
NEG_00054,2,2,2,2,2.7,73
NEG_00055,6,2,30,4,2.7,73
NEG_00056,2,2,2,2,2.7,73
NEG_00057,1,1,0,0,1.3,74
NEG_00058,2,2,2,2,2.7,73
NEG_00059,1,1,0,0,1.3,74
NEG_00060,4,2,12,4,2.7,73
NEG_00061,3,2,6,3,2.7,73
NEG_00062,1,1,0,0,1.3,74
NEG_00063,1,1,0,0,1.3,74
NEG_00064,1,1,0,0,1.3,74
NEG_00065,3,1,6,1,1.3,74
NEG_00066,3,1,6,1,1.3,74
NEG_00067,4,2,12,4,2.7,73
NEG_00068,5,2,20,3,2.7,73
NEG_00069,6,3,30,7,4.0,72
NEG_00070,8,5,56,23,6.7,70
NEG_00071,6,2,30,4,2.7,73
NEG_00072,1,1,0,0,1.3,74
NEG_00073,3,1,6,1,1.3,74
NEG_00074,1,1,0,0,1.3,74
NEG_00075,1,1,0,0,1.3,74
NEG_00076,2,2,2,2,2.7,73
NEG_00077,3,2,6,3,2.7,73
NEG_00078,3,2,6,3,2.7,73
NEG_00079,1,1,0,0,1.3,74
NEG_00080,2,2,2,2,2.7,73
NEG_00081,1,1,0,0,1.3,74
NEG_00082,1,1,0,0,1.3,74
NEG_00083,3,2,6,3,2.7,73
NEG_00084,3,3,6,6,4.0,72
NEG_00085,3,2,6,3,2.7,73
NEG_00086,4,3,12,7,4.0,72
NEG_00087,3,2,6,3,2.7,73
NEG_00088,2,2,2,2,2.7,73
NEG_00089,3,3,6,6,4.0,72
NEG_00090,3,3,6,6,4.0,72
NEG_00091,2,2,2,2,2.7,73
NEG_00092,2,2,2,2,2.7,73
NEG_00093,3,2,6,3,2.7,73
NEG_00094,1,1,0,0,1.3,74
NEG_00095,5,3,20,8,4.0,72
NEG_00096,9,4,72,15,5.3,71
NEG_00097,4,2,12,4,2.7,73
NEG_00098,3,2,6,3,2.7,73
NEG_00099,3,3,6,6,4.0,72
NEG_00100,2,2,2,2,2.7,73
NEG_00101,1,1,0,0,1.3,74
