src_label,dst_label,cases_with,pct_cases
murder,murder,44,43.1
confession_or_admission,murder,19,18.6
murder,confession_or_admission,19,18.6
murder,weapon_firearm,15,14.7
weapon_firearm,murder,15,14.7
diminished_responsibility,diminished_responsibility,13,12.7
murder,diminished_responsibility,13,12.7
diminished_responsibility,murder,13,12.7
assault_method_shooting,murder,11,10.8
murder,assault_method_shooting,11,10.8
actus_reus_killing,murder,10,9.8
murder,actus_reus_killing,10,9.8
accessory_or_complicity,murder,7,6.9
murder,accessory_or_complicity,7,6.9
confession_or_admission,weapon_firearm,5,4.9
weapon_firearm,confession_or_admission,5,4.9
diminished_responsibility,actus_reus_killing,4,3.9
weapon_firearm,weapon_firearm,4,3.9
assault_method_shooting,actus_reus_killing,4,3.9
actus_reus_killing,diminished_responsibility,4,3.9
weapon_present,murder,4,3.9
actus_reus_killing,assault_method_shooting,4,3.9
murder,weapon_present,4,3.9
weapon_firearm,assault_method_shooting,3,2.9
assault_method_shooting,weapon_firearm,3,2.9
location_public_space,murder,3,2.9
murder,location_public_space,3,2.9
motive_jealousy_revenge,murder,2,2.0
self_defence_legal,diminished_responsibility,2,2.0
murder,assault_method_stabbing,2,2.0
self_defence_legal,actus_reus_killing,2,2.0
diminished_responsibility,self_defence_legal,2,2.0
murder,weapon_sharp,2,2.0
confession_or_admission,confession_or_admission,2,2.0
murder,self_defence_legal,2,2.0
accessory_or_complicity,actus_reus_killing,2,2.0
murder,motive_jealousy_revenge,2,2.0
self_defence_legal,murder,2,2.0
accessory_or_complicity,accessory_or_complicity,2,2.0
self_defence_legal,self_defence_legal,2,2.0
assault_method_shooting,assault_method_shooting,2,2.0
weapon_sharp,murder,2,2.0
actus_reus_killing,accessory_or_complicity,2,2.0
weapon_present,weapon_firearm,2,2.0
actus_reus_killing,weapon_firearm,2,2.0
actus_reus_killing,self_defence_legal,2,2.0
weapon_firearm,actus_reus_killing,2,2.0
weapon_firearm,weapon_present,2,2.0
assault_method_stabbing,murder,2,2.0
murder,insanity,1,1.0
weapon_sharp,weapon_present,1,1.0
weapon_sharp,self_defence_legal,1,1.0
weapon_firearm,accessory_or_complicity,1,1.0
weapon_sharp,diminished_responsibility,1,1.0
weapon_sharp,assault_method_stabbing,1,1.0
weapon_sharp,actus_reus_killing,1,1.0
murder,encounter,1,1.0
murder,gunshot_residue_gsr,1,1.0
murder,alibi_claim,1,1.0
weapon_present,accessory_or_complicity,1,1.0
weapon_sharp,accessory_or_complicity,1,1.0
prior_threats,murder,1,1.0
murder,manslaughter_unlawful_act,1,1.0
self_defence_legal,weapon_sharp,1,1.0
murder,prior_threats,1,1.0
weapon_firearm,gunshot_residue_gsr,1,1.0
weapon_present,manslaughter_unlawful_act,1,1.0
weapon_present,assault_method_stabbing,1,1.0
weapon_present,assault_method_shooting,1,1.0
weapon_present,actus_reus_killing,1,1.0
weapon_present,weapon_sharp,1,1.0
location_public_space,assault_method_shooting,1,1.0
motive_jealousy_revenge,assault_method_shooting,1,1.0
actus_reus_killing,weapon_sharp,1,1.0
assault_method_shooting,weapon_present,1,1.0
assault_method_shooting,motive_jealousy_revenge,1,1.0
assault_method_shooting,manslaughter_unlawful_act,1,1.0
assault_method_shooting,location_public_space,1,1.0
assault_method_shooting,gunshot_residue_gsr,1,1.0
assault_method_shooting,confession_or_admission,1,1.0
assault_method_shooting,accessory_or_complicity,1,1.0
alibi_claim,murder,1,1.0
alibi_claim,alibi_claim,1,1.0
actus_reus_killing,weapon_present,1,1.0
motive_jealousy_revenge,accessory_or_complicity,1,1.0
actus_reus_killing,manslaughter_unlawful_act,1,1.0
actus_reus_killing,location_public_space,1,1.0
actus_reus_killing,confession_or_admission,1,1.0
accessory_or_complicity,weapon_sharp,1,1.0
accessory_or_complicity,weapon_present,1,1.0
accessory_or_complicity,weapon_firearm,1,1.0
accessory_or_complicity,motive_jealousy_revenge,1,1.0
accessory_or_complicity,assault_method_stabbing,1,1.0
accessory_or_complicity,assault_method_shooting,1,1.0
assault_method_stabbing,accessory_or_complicity,1,1.0
assault_method_stabbing,weapon_present,1,1.0
assault_method_stabbing,weapon_sharp,1,1.0
confession_or_admission,actus_reus_killing,1,1.0
manslaughter_unlawful_act,weapon_present,1,1.0
manslaughter_unlawful_act,murder,1,1.0
manslaughter_unlawful_act,assault_method_shooting,1,1.0
manslaughter_unlawful_act,actus_reus_killing,1,1.0
location_public_space,confession_or_admission,1,1.0
location_public_space,actus_reus_killing,1,1.0
insanity,murder,1,1.0
gunshot_residue_gsr,weapon_firearm,1,1.0
gunshot_residue_gsr,murder,1,1.0
gunshot_residue_gsr,gunshot_residue_gsr,1,1.0
gunshot_residue_gsr,assault_method_shooting,1,1.0
encounter,murder,1,1.0
encounter,diminished_responsibility,1,1.0
diminished_responsibility,weapon_sharp,1,1.0
diminished_responsibility,encounter,1,1.0
diminished_responsibility,confession_or_admission,1,1.0
confession_or_admission,location_public_space,1,1.0
confession_or_admission,diminished_responsibility,1,1.0
confession_or_admission,assault_method_shooting,1,1.0
weapon_sharp,weapon_sharp,1,1.0
