label,total_occurrences,cases_with,pct_cases
murder,175,101,99.0
confession_or_admission,21,19,18.6
weapon_firearm,21,15,14.7
diminished_responsibility,36,13,12.7
assault_method_shooting,15,12,11.8
actus_reus_killing,10,10,9.8
accessory_or_complicity,9,7,6.9
weapon_present,4,4,3.9
location_public_space,3,3,2.9
motive_jealousy_revenge,2,2,2.0
self_defence_legal,4,2,2.0
weapon_sharp,3,2,2.0
assault_method_stabbing,2,2,2.0
manslaughter_unlawful_act,1,1,1.0
gunshot_residue_gsr,4,1,1.0
prior_threats,1,1,1.0
encounter,1,1,1.0
alibi_claim,2,1,1.0
insanity,1,1,1.0
