src_label,dst_label,cases_with,pct_cases
murder,murder,101,61.2
murder,confession_or_admission,60,36.4
confession_or_admission,murder,60,36.4
location_public_space,murder,56,33.9
murder,location_public_space,56,33.9
murder,actus_reus_killing,47,28.5
actus_reus_killing,murder,47,28.5
location_public_space,confession_or_admission,41,24.8
confession_or_admission,location_public_space,41,24.8
location_public_space,location_public_space,38,23.0
murder,weapon_firearm,36,21.8
weapon_firearm,murder,36,21.8
actus_reus_killing,location_public_space,35,21.2
location_public_space,actus_reus_killing,35,21.2
confession_or_admission,confession_or_admission,31,18.8
actus_reus_killing,confession_or_admission,30,18.2
confession_or_admission,actus_reus_killing,30,18.2
assault_method_shooting,murder,28,17.0
murder,assault_method_shooting,28,17.0
weapon_sharp,murder,27,16.4
murder,weapon_sharp,27,16.4
joint_enterprise_presence,murder,25,15.2
diminished_responsibility,murder,25,15.2
planning_premeditation,murder,25,15.2
murder,diminished_responsibility,25,15.2
murder,planning_premeditation,25,15.2
diminished_responsibility,diminished_responsibility,25,15.2
murder,joint_enterprise_presence,25,15.2
weapon_sharp,location_public_space,23,13.9
joint_enterprise_presence,location_public_space,23,13.9
location_public_space,weapon_sharp,23,13.9
location_public_space,joint_enterprise_presence,23,13.9
accessory_or_complicity,murder,22,13.3
murder,accessory_or_complicity,22,13.3
planning_premeditation,location_public_space,21,12.7
joint_enterprise_presence,confession_or_admission,21,12.7
confession_or_admission,joint_enterprise_presence,21,12.7
location_public_space,planning_premeditation,21,12.7
weapon_firearm,confession_or_admission,20,12.1
confession_or_admission,planning_premeditation,20,12.1
confession_or_admission,weapon_firearm,20,12.1
murder,weapon_present,20,12.1
actus_reus_killing,actus_reus_killing,20,12.1
planning_premeditation,confession_or_admission,20,12.1
weapon_present,murder,20,12.1
planning_premeditation,planning_premeditation,19,11.5
weapon_sharp,weapon_sharp,19,11.5
confession_or_admission,weapon_sharp,19,11.5
weapon_sharp,confession_or_admission,19,11.5
weapon_firearm,location_public_space,18,10.9
weapon_firearm,weapon_firearm,18,10.9
location_public_space,weapon_firearm,18,10.9
joint_enterprise_presence,actus_reus_killing,17,10.3
murder,assault_method_stabbing,17,10.3
actus_reus_killing,joint_enterprise_presence,17,10.3
weapon_firearm,assault_method_shooting,17,10.3
assault_method_shooting,weapon_firearm,17,10.3
actus_reus_killing,assault_method_shooting,17,10.3
assault_method_stabbing,murder,17,10.3
assault_method_shooting,actus_reus_killing,17,10.3
weapon_firearm,actus_reus_killing,16,9.7
actus_reus_killing,weapon_sharp,16,9.7
assault_method_shooting,assault_method_shooting,16,9.7
actus_reus_killing,weapon_firearm,16,9.7
weapon_sharp,actus_reus_killing,16,9.7
murder,alibi_claim,15,9.1
murder,encounter,15,9.1
weapon_sharp,assault_method_stabbing,15,9.1
accessory_or_complicity,accessory_or_complicity,15,9.1
actus_reus_killing,planning_premeditation,15,9.1
alibi_claim,murder,15,9.1
planning_premeditation,actus_reus_killing,15,9.1
assault_method_stabbing,weapon_sharp,15,9.1
assault_method_blunt_force,murder,15,9.1
murder,assault_method_blunt_force,15,9.1
encounter,murder,15,9.1
alibi_claim,location_public_space,14,8.5
alibi_claim,confession_or_admission,14,8.5
location_public_space,accessory_or_complicity,14,8.5
location_public_space,alibi_claim,14,8.5
weapon_firearm,weapon_present,14,8.5
joint_enterprise_presence,weapon_firearm,14,8.5
weapon_firearm,joint_enterprise_presence,14,8.5
location_public_space,assault_method_shooting,14,8.5
accessory_or_complicity,location_public_space,14,8.5
assault_method_shooting,location_public_space,14,8.5
assault_method_stabbing,location_public_space,14,8.5
weapon_present,weapon_firearm,14,8.5
location_public_space,assault_method_stabbing,14,8.5
confession_or_admission,alibi_claim,14,8.5
assault_method_stabbing,confession_or_admission,13,7.9
accessory_or_complicity,confession_or_admission,13,7.9
weapon_sharp,accessory_or_complicity,13,7.9
accessory_or_complicity,weapon_sharp,13,7.9
encounter,location_public_space,13,7.9
planning_premeditation,joint_enterprise_presence,13,7.9
joint_enterprise_presence,planning_premeditation,13,7.9
confession_or_admission,accessory_or_complicity,13,7.9
confession_or_admission,assault_method_stabbing,13,7.9
location_public_space,encounter,13,7.9
joint_enterprise_presence,joint_enterprise_presence,13,7.9
assault_method_shooting,confession_or_admission,12,7.3
confession_or_admission,assault_method_blunt_force,12,7.3
weapon_present,actus_reus_killing,12,7.3
location_public_space,weapon_present,12,7.3
assault_method_blunt_force,confession_or_admission,12,7.3
alibi_claim,alibi_claim,12,7.3
confession_or_admission,assault_method_shooting,12,7.3
assault_method_blunt_force,actus_reus_killing,12,7.3
actus_reus_killing,diminished_responsibility,12,7.3
location_public_space,assault_method_blunt_force,12,7.3
self_defence_legal,murder,12,7.3
actus_reus_killing,weapon_present,12,7.3
weapon_present,assault_method_shooting,12,7.3
assault_method_shooting,weapon_present,12,7.3
actus_reus_killing,assault_method_blunt_force,12,7.3
weapon_present,location_public_space,12,7.3
assault_method_blunt_force,location_public_space,12,7.3
murder,self_defence_legal,12,7.3
diminished_responsibility,actus_reus_killing,12,7.3
confession_or_admission,weapon_present,11,6.7
murder,mens_rea_intent_to_kill,11,6.7
defendant_intoxicated,murder,11,6.7
actus_reus_killing,accessory_or_complicity,11,6.7
encounter,confession_or_admission,11,6.7
location_public_space,location_private_dwelling,11,6.7
location_private_dwelling,murder,11,6.7
mens_rea_intent_to_kill,murder,11,6.7
confession_or_admission,encounter,11,6.7
self_defence_legal,self_defence_legal,11,6.7
accessory_or_complicity,actus_reus_killing,11,6.7
murder,defendant_intoxicated,11,6.7
weapon_present,confession_or_admission,11,6.7
location_private_dwelling,location_public_space,11,6.7
murder,location_private_dwelling,11,6.7
assault_method_shooting,joint_enterprise_presence,10,6.1
defendant_intoxicated,location_public_space,10,6.1
motive_jealousy_revenge,murder,10,6.1
location_public_space,defendant_intoxicated,10,6.1
diminished_responsibility,location_public_space,10,6.1
assault_method_blunt_force,joint_enterprise_presence,10,6.1
murder,motive_jealousy_revenge,10,6.1
location_public_space,diminished_responsibility,10,6.1
actus_reus_killing,self_defence_legal,10,6.1
unlawful_killing,murder,10,6.1
weapon_present,joint_enterprise_presence,10,6.1
weapon_sharp,joint_enterprise_presence,10,6.1
planning_premeditation,encounter,10,6.1
confession_or_admission,location_private_dwelling,10,6.1
weapon_present,weapon_present,10,6.1
joint_enterprise_presence,assault_method_blunt_force,10,6.1
location_private_dwelling,confession_or_admission,10,6.1
actus_reus_killing,alibi_claim,10,6.1
planning_premeditation,weapon_firearm,10,6.1
planning_premeditation,alibi_claim,10,6.1
murder,unlawful_killing,10,6.1
encounter,planning_premeditation,10,6.1
joint_enterprise_presence,assault_method_shooting,10,6.1
self_defence_legal,actus_reus_killing,10,6.1
actus_reus_killing,location_private_dwelling,10,6.1
joint_enterprise_presence,weapon_present,10,6.1
location_private_dwelling,actus_reus_killing,10,6.1
weapon_firearm,planning_premeditation,10,6.1
alibi_claim,planning_premeditation,10,6.1
joint_enterprise_presence,weapon_sharp,10,6.1
alibi_claim,actus_reus_killing,10,6.1
mens_rea_intent_to_kill,mens_rea_intent_to_kill,10,6.1
weapon_sharp,wound_sharp_force,9,5.5
mens_rea_intent_to_kill,location_public_space,9,5.5
location_public_space,unlawful_killing,9,5.5
accessory_or_complicity,joint_enterprise_presence,9,5.5
confession_or_admission,mens_rea_intent_to_kill,9,5.5
assault_method_blunt_force,assault_method_blunt_force,9,5.5
wound_sharp_force,weapon_sharp,9,5.5
mens_rea_intent_to_kill,actus_reus_killing,9,5.5
location_public_space,self_defence_legal,9,5.5
assault_method_shooting,planning_premeditation,9,5.5
wound_sharp_force,murder,9,5.5
unlawful_killing,location_public_space,9,5.5
planning_premeditation,assault_method_shooting,9,5.5
encounter,actus_reus_killing,9,5.5
actus_reus_killing,encounter,9,5.5
self_defence_legal,location_public_space,9,5.5
planning_premeditation,assault_method_blunt_force,9,5.5
assault_method_blunt_force,planning_premeditation,9,5.5
murder,wound_sharp_force,9,5.5
location_public_space,mens_rea_intent_to_kill,9,5.5
assault_method_stabbing,assault_method_stabbing,9,5.5
actus_reus_killing,mens_rea_intent_to_kill,9,5.5
mens_rea_intent_to_kill,confession_or_admission,9,5.5
joint_enterprise_presence,accessory_or_complicity,9,5.5
defendant_intoxicated,actus_reus_killing,8,4.8
unlawful_killing,confession_or_admission,8,4.8
planning_premeditation,weapon_present,8,4.8
planning_premeditation,weapon_sharp,8,4.8
assault_method_stabbing,accessory_or_complicity,8,4.8
confession_or_admission,self_defence_legal,8,4.8
self_defence_legal,confession_or_admission,8,4.8
confession_or_admission,unlawful_killing,8,4.8
defendant_intoxicated,confession_or_admission,8,4.8
assault_method_stabbing,wound_sharp_force,8,4.8
assault_method_stabbing,actus_reus_killing,8,4.8
confession_or_admission,defendant_intoxicated,8,4.8
actus_reus_killing,defendant_intoxicated,8,4.8
accessory_or_complicity,weapon_firearm,8,4.8
confession_or_admission,diminished_responsibility,8,4.8
joint_enterprise_presence,encounter,8,4.8
weapon_sharp,planning_premeditation,8,4.8
accessory_or_complicity,assault_method_stabbing,8,4.8
weapon_firearm,accessory_or_complicity,8,4.8
weapon_firearm,weapon_sharp,8,4.8
alibi_claim,weapon_sharp,8,4.8
diminished_responsibility,confession_or_admission,8,4.8
weapon_sharp,alibi_claim,8,4.8
location_public_space,wound_sharp_force,8,4.8
weapon_sharp,weapon_firearm,8,4.8
weapon_sharp,weapon_present,8,4.8
actus_reus_killing,wound_sharp_force,8,4.8
wound_sharp_force,actus_reus_killing,8,4.8
wound_sharp_force,assault_method_stabbing,8,4.8
encounter,joint_enterprise_presence,8,4.8
wound_sharp_force,location_public_space,8,4.8
actus_reus_killing,assault_method_stabbing,8,4.8
weapon_present,planning_premeditation,8,4.8
weapon_present,weapon_sharp,8,4.8
joint_enterprise_presence,alibi_claim,7,4.2
weapon_sharp,assault_method_blunt_force,7,4.2
planning_premeditation,motive_jealousy_revenge,7,4.2
strangulation,murder,7,4.2
alibi_claim,encounter,7,4.2
assault_method_stabbing,weapon_present,7,4.2
alibi_claim,joint_enterprise_presence,7,4.2
alibi_claim,assault_method_stabbing,7,4.2
murder,causation,7,4.2
weapon_present,assault_method_stabbing,7,4.2
actus_reus_killing,unlawful_killing,7,4.2
encounter,assault_method_blunt_force,7,4.2
assault_method_blunt_force,encounter,7,4.2
encounter,alibi_claim,7,4.2
motive_jealousy_revenge,joint_enterprise_presence,7,4.2
joint_enterprise_presence,motive_jealousy_revenge,7,4.2
assault_method_blunt_force,weapon_sharp,7,4.2
motive_jealousy_revenge,planning_premeditation,7,4.2
assault_method_stabbing,alibi_claim,7,4.2
murder,strangulation,7,4.2
unlawful_killing,actus_reus_killing,7,4.2
causation,murder,7,4.2
accessory_or_complicity,planning_premeditation,6,3.6
location_public_space,strangulation,6,3.6
actus_reus_killing,causation,6,3.6
confession_or_admission,causation,6,3.6
causation,location_public_space,6,3.6
insanity,murder,6,3.6
wound_sharp_force,confession_or_admission,6,3.6
abduction,location_public_space,6,3.6
weapon_present,self_defence_legal,6,3.6
abduction,murder,6,3.6
weapon_sharp,unlawful_killing,6,3.6
planning_premeditation,accessory_or_complicity,6,3.6
weapon_sharp,defendant_intoxicated,6,3.6
causation,confession_or_admission,6,3.6
encounter,weapon_sharp,6,3.6
weapon_sharp,self_defence_legal,6,3.6
weapon_sharp,encounter,6,3.6
location_public_space,causation,6,3.6
confession_or_admission,motive_jealousy_revenge,6,3.6
causation,actus_reus_killing,6,3.6
weapon_sharp,assault_method_shooting,6,3.6
unlawful_killing,mens_rea_intent_to_kill,6,3.6
joint_enterprise_presence,assault_method_stabbing,6,3.6
strangulation,location_public_space,6,3.6
unlawful_killing,weapon_sharp,6,3.6
joint_enterprise_presence,mens_rea_intent_to_kill,6,3.6
defendant_intoxicated,weapon_sharp,6,3.6
murder,abduction,6,3.6
joint_enterprise_presence,self_defence_legal,6,3.6
unlawful_killing,assault_method_stabbing,6,3.6
assault_method_blunt_force,weapon_present,6,3.6
assault_method_shooting,weapon_sharp,6,3.6
murder,insanity,6,3.6
diminished_responsibility,joint_enterprise_presence,6,3.6
motive_jealousy_revenge,confession_or_admission,6,3.6
mens_rea_intent_to_kill,joint_enterprise_presence,6,3.6
assault_method_stabbing,joint_enterprise_presence,6,3.6
location_public_space,abduction,6,3.6
joint_enterprise_presence,diminished_responsibility,6,3.6
weapon_present,assault_method_blunt_force,6,3.6
assault_method_stabbing,unlawful_killing,6,3.6
confession_or_admission,wound_sharp_force,6,3.6
mens_rea_intent_to_kill,unlawful_killing,6,3.6
self_defence_legal,weapon_present,6,3.6
self_defence_legal,weapon_sharp,6,3.6
strangulation,actus_reus_killing,6,3.6
self_defence_legal,joint_enterprise_presence,6,3.6
confession_or_admission,strangulation,6,3.6
strangulation,confession_or_admission,6,3.6
actus_reus_killing,strangulation,6,3.6
diminished_responsibility,assault_method_blunt_force,5,3.0
encounter,location_private_dwelling,5,3.0
location_private_dwelling,planning_premeditation,5,3.0
location_public_space,insanity,5,3.0
location_public_space,motive_jealousy_revenge,5,3.0
encounter,assault_method_shooting,5,3.0
encounter,encounter,5,3.0
motive_jealousy_revenge,location_public_space,5,3.0
location_private_dwelling,weapon_sharp,5,3.0
motive_jealousy_revenge,assault_method_shooting,5,3.0
motive_jealousy_revenge,assault_method_blunt_force,5,3.0
defendant_intoxicated,assault_method_stabbing,5,3.0
mens_rea_intent_to_kill,planning_premeditation,5,3.0
mens_rea_intent_to_kill,weapon_present,5,3.0
motive_jealousy_revenge,weapon_present,5,3.0
insanity,location_public_space,5,3.0
confession_or_admission,abduction,5,3.0
assault_method_stabbing,planning_premeditation,5,3.0
assault_method_stabbing,assault_method_blunt_force,5,3.0
assault_method_shooting,self_defence_legal,5,3.0
assault_method_shooting,motive_jealousy_revenge,5,3.0
unlawful_killing,unlawful_killing,5,3.0
assault_method_shooting,encounter,5,3.0
assault_method_shooting,assault_method_blunt_force,5,3.0
assault_method_shooting,alibi_claim,5,3.0
assault_method_shooting,accessory_or_complicity,5,3.0
assault_method_blunt_force,weapon_firearm,5,3.0
causation,weapon_sharp,5,3.0
weapon_firearm,assault_method_blunt_force,5,3.0
weapon_firearm,assault_method_stabbing,5,3.0
assault_method_blunt_force,diminished_responsibility,5,3.0
assault_method_blunt_force,assault_method_stabbing,5,3.0
assault_method_blunt_force,assault_method_shooting,5,3.0
assault_method_blunt_force,alibi_claim,5,3.0
assault_method_blunt_force,accessory_or_complicity,5,3.0
weapon_firearm,self_defence_legal,5,3.0
weapon_present,accessory_or_complicity,5,3.0
alibi_claim,assault_method_shooting,5,3.0
alibi_claim,assault_method_blunt_force,5,3.0
weapon_present,mens_rea_intent_to_kill,5,3.0
weapon_present,motive_jealousy_revenge,5,3.0
accessory_or_complicity,weapon_present,5,3.0
weapon_sharp,causation,5,3.0
accessory_or_complicity,assault_method_shooting,5,3.0
accessory_or_complicity,assault_method_blunt_force,5,3.0
weapon_sharp,location_private_dwelling,5,3.0
abduction,confession_or_admission,5,3.0
assault_method_stabbing,defendant_intoxicated,5,3.0
assault_method_blunt_force,motive_jealousy_revenge,5,3.0
planning_premeditation,location_private_dwelling,5,3.0
location_private_dwelling,encounter,5,3.0
planning_premeditation,mens_rea_intent_to_kill,5,3.0
self_defence_legal,assault_method_shooting,5,3.0
assault_method_stabbing,weapon_firearm,5,3.0
self_defence_legal,weapon_firearm,5,3.0
planning_premeditation,assault_method_stabbing,5,3.0
actus_reus_killing,motive_jealousy_revenge,4,2.4
joint_enterprise_presence,causation,4,2.4
mens_rea_intent_to_kill,diminished_responsibility,4,2.4
actus_reus_killing,tied_restraint,4,2.4
weapon_present,causation,4,2.4
causation,joint_enterprise_presence,4,2.4
weapon_present,encounter,4,2.4
causation,assault_method_shooting,4,2.4
encounter,motive_jealousy_revenge,4,2.4
actus_reus_killing,insanity,4,2.4
strangulation,planning_premeditation,4,2.4
alibi_claim,location_private_dwelling,4,2.4
encounter,defendant_intoxicated,4,2.4
murder,weapon_blunt,4,2.4
weapon_firearm,motive_jealousy_revenge,4,2.4
weapon_firearm,mens_rea_intent_to_kill,4,2.4
alibi_claim,weapon_firearm,4,2.4
weapon_firearm,location_private_dwelling,4,2.4
alibi_claim,wound_sharp_force,4,2.4
weapon_firearm,insanity,4,2.4
mens_rea_intent_to_kill,weapon_firearm,4,2.4
causation,accessory_or_complicity,4,2.4
diminished_responsibility,weapon_sharp,4,2.4
alibi_claim,motive_jealousy_revenge,4,2.4
mens_rea_intent_to_kill,assault_method_blunt_force,4,2.4
diminished_responsibility,weapon_firearm,4,2.4
actus_reus_killing,abduction,4,2.4
abduction,actus_reus_killing,4,2.4
insanity,diminished_responsibility,4,2.4
causation,weapon_present,4,2.4
wound_sharp_force,defendant_intoxicated,4,2.4
wound_sharp_force,alibi_claim,4,2.4
abduction,joint_enterprise_presence,4,2.4
insanity,weapon_firearm,4,2.4
abduction,planning_premeditation,4,2.4
joint_enterprise_presence,abduction,4,2.4
weapon_sharp,strangulation,4,2.4
