case_id,scenario,P(Murder),P(Manslaughter),P(Not Guilty),MAP_verdict,actual_verdict,correct,delta_P(Murder),delta_P(Manslaughter),delta_P(Not Guilty),counterfactual_shifted,p_murder_delta,p_murder_baseline
CASE_00000,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Not_Guilty,False,,,,,,
CASE_00001,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Not_Guilty,False,,,,,,
CASE_00002,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00003,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00004,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00005,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00006,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Not_Guilty,False,,,,,,
CASE_00007,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00008,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Manslaughter,False,,,,,,
CASE_00009,FULL_EVIDENCE,0.7250737463126844,0.24365781710914453,0.03126843657817109,Murder,Murder,True,,,,,,
CASE_00010,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00011,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Not_Guilty,False,,,,,,
CASE_00012,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
CASE_00013,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00014,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00015,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00016,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00017,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00018,FULL_EVIDENCE,0.6654088050314465,0.140125786163522,0.19446540880503146,Murder,Murder,True,,,,,,
CASE_00019,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00020,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00021,FULL_EVIDENCE,0.6654088050314465,0.140125786163522,0.19446540880503146,Murder,Manslaughter,False,,,,,,
CASE_00022,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
CASE_00023,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00024,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Manslaughter,False,,,,,,
CASE_00025,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
CASE_00026,FULL_EVIDENCE,0.7250737463126844,0.24365781710914453,0.03126843657817109,Murder,Manslaughter,False,,,,,,
CASE_00027,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00028,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00029,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
CASE_00030,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00031,FULL_EVIDENCE,0.6404040404040404,0.15555555555555556,0.20404040404040402,Murder,Not_Guilty,False,,,,,,
CASE_00032,FULL_EVIDENCE,0.6915927334178286,0.2454583861427968,0.06294888043937474,Murder,Murder,True,,,,,,
CASE_00033,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00034,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00035,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00036,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00037,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00038,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00039,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00040,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00041,FULL_EVIDENCE,0.6915927334178286,0.2454583861427968,0.06294888043937474,Murder,Murder,True,,,,,,
CASE_00042,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00043,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
CASE_00044,FULL_EVIDENCE,0.7813333333333334,0.20533333333333334,0.013333333333333334,Murder,Murder,True,,,,,,
CASE_00045,FULL_EVIDENCE,0.6404040404040404,0.15555555555555556,0.20404040404040402,Murder,Not_Guilty,False,,,,,,
CASE_00046,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Manslaughter,False,,,,,,
CASE_00047,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Manslaughter,False,,,,,,
CASE_00048,FULL_EVIDENCE,0.6915927334178286,0.2454583861427968,0.06294888043937474,Murder,Murder,True,,,,,,
CASE_00049,FULL_EVIDENCE,0.7250737463126844,0.24365781710914453,0.03126843657817109,Murder,Murder,True,,,,,,
CASE_00050,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00051,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Manslaughter,False,,,,,,
CASE_00052,FULL_EVIDENCE,0.7603894974786993,0.15110415579899147,0.08850634672230914,Murder,Murder,True,,,,,,
CASE_00053,FULL_EVIDENCE,0.6915927334178286,0.2454583861427968,0.06294888043937474,Murder,Not_Guilty,False,,,,,,
CASE_00054,FULL_EVIDENCE,0.7605669450771956,0.13490255631485698,0.10453049860794734,Murder,Murder,True,,,,,,
CASE_00055,FULL_EVIDENCE,0.7199800697558545,0.05032386646736422,0.22969606377678126,Murder,Murder,True,,,,,,
