cpt_node,parent_config_index,child_state_index,child_state_label,baseline_prob,best_multiplier,P_Murder_baseline,P_Murder_perturbed,max_abs_delta_P_Murder,row_type,n_perturbation_trials,mean_abs_delta_P_Murder
DeathOfHumanBeing,0.0,0.0,0,0.08672875436554132,0.8,0.7312522346341669,0.7314836740164846,0.00023143938231773298,cpt_entry,,
DeathOfHumanBeing,0.0,1.0,1,0.9132712456344587,0.8,0.7312522346341669,0.7309739865461246,0.00027824808804233214,cpt_entry,,
Defences,0.0,0.0,0,0.8271767810026385,0.8,0.7312522346341669,0.7305120241598158,0.0007402104743511329,cpt_entry,,
Defences,0.0,1.0,1,0.17282321899736147,0.8,0.7312522346341669,0.731892105016887,0.0006398703827200647,cpt_entry,,
Defences,1.0,0.0,0,0.344559585492228,0.8,0.7312522346341669,0.7311438522173328,0.00010838241683408523,cpt_entry,,
Defences,1.0,1.0,1,0.655440414507772,0.8,0.7312522346341669,0.7313683725012217,0.00011613786705477747,cpt_entry,,
Defences,2.0,0.0,0,0.6735357917570499,0.8,0.7312522346341669,0.731024586003851,0.00022764863031587979,cpt_entry,,
Defences,2.0,1.0,1,0.3264642082429501,0.8,0.7312522346341669,0.7314629773555245,0.00021074272135757077,cpt_entry,,
Defences,3.0,0.0,0,0.32945736434108525,0.8,0.7312522346341669,0.7312303269009983,2.1907733168569088e-05,cpt_entry,,
Defences,3.0,1.0,1,0.6705426356589147,0.8,0.7312522346341669,0.7312758683122941,2.3633678127188418e-05,cpt_entry,,
DiminishedResponsibility,0.0,0.0,0,0.8282887077997672,0.8,0.7312522346341669,0.7311142062370826,0.00013802839708432213,cpt_entry,,
DiminishedResponsibility,0.0,1.0,1,0.17171129220023282,0.8,0.7312522346341669,0.731371493166042,0.00011925853187511049,cpt_entry,,
FactualCausation,0.0,0.0,0,0.9733542319749217,0.8,0.7312522346341669,0.7312621191098864,9.884475719479369e-06,cpt_entry,,
FactualCausation,0.0,1.0,1,0.02664576802507837,0.8,0.7312522346341669,0.731244231728991,8.002905175885644e-06,cpt_entry,,
FactualCausation,1.0,0.0,0,0.7694781987133666,0.8,0.7312522346341669,0.7315344231390206,0.0002821885048537309,cpt_entry,,
FactualCausation,1.0,1.0,1,0.2305218012866333,0.8,0.7312522346341669,0.7310019337475461,0.0002503008866208134,cpt_entry,,
IntentToCauseGBH,0.0,0.0,0,0.8387660069848661,0.8,0.7312522346341669,0.7312659493759969,1.3714741829984334e-05,cpt_entry,,
IntentToCauseGBH,0.0,1.0,1,0.1612339930151339,0.8,0.7312522346341669,0.731240440253156,1.1794381010843402e-05,cpt_entry,,
IntentToKill,0.0,0.0,0,0.759604190919674,0.8,0.7312522346341669,0.7312829481038805,3.071346971361688e-05,cpt_entry,,
IntentToKill,0.0,1.0,1,0.24039580908032596,0.8,0.7312522346341669,0.7312248715882008,2.7363045966066757e-05,cpt_entry,,
LegalCausation,0.0,0.0,0,0.7400865176640231,0.8,0.7312522346341669,0.7319529162762051,0.0007006816420381812,cpt_entry,,
LegalCausation,0.0,1.0,1,0.25991348233597694,0.8,0.7312522346341669,0.7306225323781805,0.000629702255986353,cpt_entry,,
LegalCausation,1.0,0.0,0,0.6057401812688822,0.8,0.7312522346341669,0.7313717081450126,0.00011947351084573565,cpt_entry,,
LegalCausation,1.0,1.0,1,0.3942598187311178,0.8,0.7312522346341669,0.7311382469519595,0.00011398768220738376,cpt_entry,,
LossOfControl,0.0,0.0,0,0.9062863795110594,0.8,0.7312522346341669,0.7309782421090624,0.0002739925251045161,cpt_entry,,
LossOfControl,0.0,1.0,1,0.09371362048894064,0.8,0.7312522346341669,0.7314808488741787,0.0002286142400118596,cpt_entry,,
MaliceAforethought,0.0,0.0,0,0.6252268602540835,0.8,0.7312522346341669,0.7315781101865177,0.00032587555235086274,cpt_entry,,
MaliceAforethought,0.0,1.0,1,0.37477313974591653,0.8,0.7312522346341669,0.7309440050799422,0.0003082295542247149,cpt_entry,,
MaliceAforethought,1.0,0.0,0,0.4271636675235647,0.8,0.7312522346341669,0.7319696394590118,0.0007174048248449472,cpt_entry,,
MaliceAforethought,1.0,1.0,1,0.5728363324764353,0.8,0.7312522346341669,0.7305112241149013,0.0007410105192655614,cpt_entry,,
MensReaIntent,0.0,0.0,0,0.38235294117647056,0.8,0.7312522346341669,0.731378025589995,0.00012579095582809785,cpt_entry,,
MensReaIntent,0.0,1.0,1,0.6176470588235294,0.8,0.7312522346341669,0.7311196898015158,0.00013254483265112693,cpt_entry,,
MensReaIntent,1.0,0.0,0,0.16365280289330922,0.8,0.7312522346341669,0.7312742637700738,2.202913590687583e-05,cpt_entry,,
MensReaIntent,1.0,1.0,1,0.8363471971066908,0.8,0.7312522346341669,0.7312266463935662,2.558824060072684e-05,cpt_entry,,
MensReaIntent,2.0,0.0,0,0.22241992882562278,0.8,0.7312522346341669,0.7312693502280159,1.711559384898198e-05,cpt_entry,,
MensReaIntent,2.0,1.0,1,0.7775800711743772,0.8,0.7312522346341669,0.7312328686967524,1.936593741447279e-05,cpt_entry,,
MensReaIntent,3.0,0.0,0,0.21428571428571427,0.8,0.7312522346341669,0.7312574988267541,5.264192587173255e-06,cpt_entry,,
MensReaIntent,3.0,1.0,1,0.7857142857142857,0.8,0.7312522346341669,0.7312462566527543,5.97798141255268e-06,cpt_entry,,
UnlawfulKilling,0.0,0.0,0,0.7472406181015453,0.8,0.7312522346341669,0.7313669150988705,0.00011468046470364257,cpt_entry,,
UnlawfulKilling,0.0,1.0,1,0.25275938189845476,0.8,0.7312522346341669,0.73114949949571,0.00010273513845693305,cpt_entry,,
UnlawfulKilling,1.0,0.0,0,0.13636363636363635,0.8,0.7312522346341669,0.7312741933638401,2.195872967325485e-05,cpt_entry,,
