node,P_Murder_given_node_0,P_Murder_given_node_1,delta_P_Murder,direction_vs_node0,abs_delta
UnlawfulKilling,0.6979274432622263,0.7477577541423465,0.04983031088012013,INCREASES,0.04983031088012013
Defences,0.7382236053369838,0.7094405035379308,-0.02878310179905308,DECREASES,0.02878310179905308
MaliceAforethought,0.7212921503056836,0.7407831175021409,0.019490967196457265,INCREASES,0.019490967196457265
LegalCausation,0.7260960649812597,0.744137408084507,0.018041343103247343,INCREASES,0.018041343103247343
DeathOfHumanBeing,0.718140960633196,0.7324973460593706,0.014356385426174567,INCREASES,0.014356385426174567
LossOfControl,0.7324898643252781,0.7192833561927999,-0.013206508132478145,DECREASES,0.013206508132478145
FactualCausation,0.729659896811152,0.7379246592883109,0.008264762477158905,INCREASES,0.008264762477158905
DiminishedResponsibility,0.7319474205244717,0.7278988464243235,-0.00404857410014825,DECREASES,0.00404857410014825
MensReaIntent,0.7285968412785846,0.7324572844709207,0.003860443192336138,INCREASES,0.003860443192336138
VoluntaryAct,0.7298801177549007,0.7315651047445928,0.0016849869896921055,INCREASES,0.0016849869896921055
IntentToKill,0.7310807805139644,0.7317939964425549,0.0007132159285905271,INCREASES,0.0007132159285905271
IntentToCauseGBH,0.7311841939059625,0.7316061938014683,0.0004219998955058424,INCREASES,0.0004219998955058424
